uid,lp_mean,rp_mean,lc_mean,rc_mean,lp_sbr,rp_sbr,lc_sbr,rc_sbr,put_asym,cau_asym,lr_asym,total_sbr,lr_ratio,rl_ratio,pc_ratio,abs_put_asym,abs_cau_asym,lp_std,rp_std,lc_std,rc_std,put_asym_std,cau_asym_std,lp_voxels,rp_voxels,lc_voxels,rc_voxels
xaji0y6d,0.20614342391490936,0.3191450834274292,0.17704489827156067,0.24079729616641998,0.8453769683837891,1.3087873458862305,0.7260463237762451,0.9874895811080933,-0.21512261033058167,-0.15257492661476135,-0.1874118596315384,3.8677000999450684,0.6843340396881104,1.4612681865692139,1.2571426630020142,0.11300165951251984,0.06375239789485931,0.05306510999798775,0.07602021098136902,0.03453226760029793,0.07386602461338043,0.02295510098338127,0.039333757013082504,714.0,521.0,659.0,842.0
pbhsahxt,0.12581270933151245,0.19551636278629303,0.11493305116891861,0.14453257620334625,0.7101088762283325,1.1035284996032715,0.6487022042274475,0.8157671093940735,-0.21692228317260742,-0.1140783429145813,-0.17097783088684082,3.278106689453125,0.7079717516899109,1.4124757051467896,1.2384214401245117,0.06970365345478058,0.029599525034427643,0.02250121533870697,0.0746484324336052,0.0196688175201416,0.028510408475995064,0.052147217094898224,0.008841590955853462,714.0,521.0,659.0,842.0
hv3a3zmf,0.1722268909215927,0.24917517602443695,0.1545807272195816,0.22240744531154633,0.7418355941772461,1.073276162147522,0.6658279895782471,0.957979142665863,-0.182600200176239,-0.1799168735742569,-0.18133339285850525,3.4389190673828125,0.693000316619873,1.4429931640625,1.1178094148635864,0.07694828510284424,0.06782671809196472,0.03758871555328369,0.05711086466908455,0.044204406440258026,0.05170414224267006,0.019522149115800858,0.007499735802412033,714.0,521.0,659.0,842.0
8mdd4v30,0.17909495532512665,0.24765430390834808,0.11444409191608429,0.17938260734081268,0.8747685551643372,1.2096387147903442,0.5589889287948608,0.8761735558509827,-0.16065450012683868,-0.22100882232189178,-0.18526524305343628,3.5195698738098145,0.6873840093612671,1.4547823667526245,1.4523792266845703,0.06855934858322144,0.0649385154247284,0.05507645756006241,0.06076149642467499,0.018920086324214935,0.0389479398727417,0.005685038864612579,0.020027853548526764,714.0,521.0,659.0,842.0
t9nt3w5u,0.2391769289970398,0.3798636496067047,0.19160336256027222,0.3128467798233032,0.7675014138221741,1.2189549207687378,0.6148412823677063,1.003902554512024,-0.2272653728723526,-0.24034719169139862,-0.23313935101032257,3.6052002906799316,0.621875524520874,1.6080325841903687,1.227156639099121,0.14068672060966492,0.121243417263031,0.05769321694970131,0.07790868729352951,0.052591659128665924,0.09028520435094833,0.0202154703438282,0.03769354522228241,714.0,521.0,659.0,842.0
zbikcidk,0.2842073440551758,0.4043411314487457,0.20478293299674988,0.3236413896083832,0.8119492530822754,1.155158281326294,0.585042417049408,0.9246079921722412,-0.17447371780872345,-0.22492951154708862,-0.19638240337371826,3.4767580032348633,0.6717051267623901,1.4887433052062988,1.303019404411316,0.12013378739356995,0.1188584566116333,0.06788382679224014,0.07106857001781464,0.05079718306660652,0.06938721239566803,0.0031847432255744934,0.018590029329061508,714.0,521.0,659.0,842.0
wnnhj7xv,0.21951653063297272,0.3067403733730316,0.16684800386428833,0.22413769364356995,0.8968100547790527,1.2531532049179077,0.6816387176513672,0.9156892895698547,-0.16574351489543915,-0.14652591943740845,-0.15755198895931244,3.747291326522827,0.7277825474739075,1.374030590057373,1.3459713459014893,0.0872238427400589,0.057289689779281616,0.05878068134188652,0.07454045116901398,0.042649880051612854,0.05117756128311157,0.015759769827127457,0.008527681231498718,714.0,521.0,659.0,842.0
g0fn9xuy,0.15852096676826477,0.24774980545043945,0.09940575808286667,0.1922280490398407,0.7943748235702515,1.2415152788162231,0.4981387257575989,0.9632865786552429,-0.2196284383535385,-0.3182826042175293,-0.26085349917411804,3.4973154067993164,0.5862252712249756,1.7058182954788208,1.393080472946167,0.08922883868217468,0.09282229095697403,0.03887913003563881,0.060464438050985336,0.032829366624355316,0.05649176985025406,0.021585308015346527,0.023662403225898743,714.0,521.0,659.0,842.0
41ibljh7,0.16853488981723785,0.2786886394023895,0.15895695984363556,0.24927718937397003,0.6572926640510559,1.0868966579437256,0.6199383735656738,0.972190797328949,-0.24630522727966309,-0.22124558687210083,-0.23434679210186005,3.3363184928894043,0.6202886700630188,1.6121445894241333,1.0955047607421875,0.11015374958515167,0.09032022953033447,0.038508590310811996,0.10099726170301437,0.039971522986888885,0.061958372592926025,0.06248867139220238,0.02198684960603714,714.0,521.0,659.0,842.0
5lxo6qji,0.25860223174095154,0.31455495953559875,0.1835113912820816,0.32544049620628357,0.8635907173156738,1.0504424571990967,0.6128281950950623,1.086794137954712,-0.09762178361415863,-0.27886489033699036,-0.182866632938385,3.6136555671691895,0.6908063888549805,1.4475780725479126,1.1261497735977173,0.05595272779464722,0.14192910492420197,0.055501069873571396,0.0438547246158123,0.08196417987346649,0.070476233959198,0.011646345257759094,0.011487945914268494,714.0,521.0,659.0,842.0
